,name,text
1405,Mind Spike,"Target opponent reveals each noncreature, nonland card in their hand. You choose a card revealed this way. That player discards that card. You lose 2 life. If they didn't reveal a card this way, you draw a card."
1406,Stroke of Luck,Look at the top four cards of your library. Choose one of them and put all cards with the same name as the chosen card from among them into your hand. You lose 1 life for each card put into your hand this way. Put the rest on the bottom of your library in a random order.
1407,Flames of Moradin,"Destroy up to three target artifacts. Conjure a duplicate of each nontoken artifact destroyed this way into your hand. The duplicates perpetually gain ""You may pay {R} rather than pay this spell's mana cost"" and ""at the beginning of your end step, sacrifice this artifact."""
1408,Incessant Provocation,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. It perpetually gains ""This creature attacks each combat if able."""
1409,Mephit's Enthusiasm,"Mephit's Enthusiasm deals 4 damage to target creature or planeswalker. If excess damage was dealt this way, note that excess damage, then you get a boon with ""When you cast your next creature spell, it perpetually gets +X/+0, where X is the noted number."""
1410,Unexpected Allies,Target nontoken creature you control gets +2/+0 and gains double team until end of turn. It also gains first strike until end of turn if it has the same name as another creature you control or a creature card in your graveyard.
1411,Follow the Tracks,Conjure a card of your choice from Follow the Tracks's spellbook onto the battlefield.
1412,Verdant Rejuvenation,"Seek X creature, enchantment, and/or planeswalker cards, where X is the highest mana value among creatures you control. Put those cards onto the battlefield."
1413,A-Druidic Ritual,You may mill three cards. Then return up to two creature and/or land cards from your graveyard to your hand.
1414,A-Split the Spoils,Exile up to five target permanent cards from your graveyard and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. (Piles can be empty.)
1415,Evil Presents,Put a creature card from your hand into play under target opponent's control. That creature attacks each turn if able... and always attacks its controller.
1416,Season's Beatings,Family gathering — Each creature target player controls deals damage equal to its power to another random creature that player controls.
1417,Naughty // Nice,Search another target player's library for a card and put that card into your hand. Then shuffle that player's library.
1418,Goblin Sleigh Ride,"Target creature you control climbs into Goblin Sleigh Ride. You slide them on their merry way. If the creature stayed on, it deals damage equal to its toughness to each other creature touched during the slide."
1419,Last-Minute Chopping,"Ask target opponent if they remembered to get you a present. If they say yes, they put a card they own from outside the game into your hand. Otherwise, you gain control of target permanent they control."
1420,Leeches,Target player loses all poison counters. Leeches deals that much damage to that player.
1421,Prophecy,"Reveal the top card of target opponent's library. If it's a land, you gain 1 life. Then that player shuffles.
Draw a card at the beginning of the next turn's upkeep."
1422,Baki's Curse,Baki's Curse deals 2 damage to each creature for each Aura attached to that creature.
1423,Evaporate,Evaporate deals 1 damage to each white and/or blue creature.
1424,Retribution,Choose two target creatures an opponent controls. That player chooses and sacrifices one of those creatures. Put a -1/-1 counter on the other.
1425,Winter Sky,"Flip a coin. If you win the flip, Winter Sky deals 1 damage to each creature and each player. If you lose the flip, each player draws a card."
1426,An-Havva Inn,"You gain X plus 1 life, where X is the number of green creatures on the battlefield."
1427,Renewal,"As an additional cost to cast this spell, sacrifice a land.
Search your library for a basic land card, put that card onto the battlefield, then shuffle.
Draw a card at the beginning of the next turn's upkeep."
1428,Beseech the Queen,"({2/B} can be paid with any two mana or with {B}. This card's mana value is 6.)
Search your library for a card with mana value less than or equal to the number of lands you control, reveal it, put it into your hand, then shuffle."
1429,Beast Hunt,Reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.
1430,Assault // Battery,Assault deals 2 damage to any target.
1431,Oketra's Last Mercy,Your life total becomes equal to your starting life total. Lands you control don't untap during your next untap step.
1432,Hour of Eternity,"Exile X target creature cards from your graveyard. For each card exiled this way, create a token that's a copy of that card, except it's a 4/4 black Zombie."
1433,Kefnet's Last Word,"Gain control of target artifact, creature, or enchantment. Lands you control don't untap during your next untap step."
1434,Razaketh's Rite,"Search your library for a card, put that card into your hand, then shuffle.
Cycling {B} ({B}, Discard this card: Draw a card.)"
1435,Hazoret's Undying Fury,"Shuffle your library, then exile the top four cards. You may cast any number of spells with mana value 5 or less from among them without paying their mana costs. Lands you control don't untap during your next untap step."
1436,Inferno Jet,"Inferno Jet deals 6 damage to target opponent or planeswalker.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1437,Nissa's Defeat,"Destroy target Forest, green enchantment, or green planeswalker. If that permanent was a Nissa planeswalker, draw a card."
1438,Rhonas's Last Stand,Create a 5/4 green Snake creature token. Lands you control don't untap during your next untap step.
1439,Uncage the Menagerie,"Search your library for up to X creature cards with different names that each have mana value X, reveal them, put them into your hand, then shuffle."
1440,Nissa's Encouragement,"Search your library and graveyard for a card named Forest, a card named Brambleweft Behemoth, and a card named Nissa, Genesis Mage. Reveal those cards, put them into your hand, then shuffle."
