,name,text
1617,Vigorous Charge,"Kicker {W} (You may pay an additional {W} as you cast this spell.)
Target creature gains trample until end of turn. Whenever that creature deals combat damage this turn, if this spell was kicked, you gain life equal to that damage."
1618,Absorb,Counter target spell. You gain 3 life.
1619,Backlash,Tap target untapped creature. That creature deals damage equal to its power to its controller.
1620,Reviving Vapors,Reveal the top three cards of your library and put one of them into your hand. You gain life equal to that card's mana value. Put all other cards revealed this way into your graveyard.
1621,Simoon,Simoon deals 1 damage to each creature target opponent controls.
1622,Stand // Deliver,Prevent the next 2 damage that would be dealt to target creature this turn.
1623,Feeling of Dread,"Tap up to two target creatures.
Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1624,Spare from Evil,Creatures you control gain protection from non-Human creatures until end of turn.
1625,Urgent Exorcism,Destroy target Spirit or enchantment.
1626,Frightful Delusion,Counter target spell unless its controller pays {1}. That player discards a card.
1627,Hysterical Blindness,Creatures your opponents control get -4/-0 until end of turn.
1628,Lost in the Mist,Counter target spell. Return target permanent to its owner's hand.
1629,Memory's Journey,"Target player shuffles up to three target cards from their graveyard into their library.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1630,Corpse Lunge,"As an additional cost to cast this spell, exile a creature card from your graveyard.
Corpse Lunge deals damage equal to the exiled card's power to target creature."
1631,Harvest Pyre,"As an additional cost to cast this spell, exile X cards from your graveyard.
Harvest Pyre deals X damage to target creature."
1632,Vampiric Fury,Vampire creatures you control get +2/+0 and gain first strike until end of turn.
1633,Gnaw to the Bone,"You gain 2 life for each creature card in your graveyard.
Flashback {2}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1634,Moonmist,Transform all Humans. Prevent all combat damage that would be dealt this turn by creatures other than Werewolves and Wolves. (Only double-faced cards can be transformed.)
1635,Ranger's Guile,Target creature you control gets +1/+1 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
1636,Baffling Defenses,Target creature's base power perpetually becomes 0.
1637,Ethereal Grasp,"Tap target creature. That creature perpetually gains ""This creature doesn't untap during your untap step"" and ""{8}: Untap this creature."""
1638,Davriel's Withering,Target creature an opponent controls perpetually gets -1/-2.
1639,Sarkhan's Scorn,Sarkhan's Scorn deals damage equal to the number of turns you have begun to target creature or planeswalker.
1640,Skyshroud Ambush,"Target creature you control fights target creature you don't control. When the creature you control wins the fight, draw a card."
1641,Gilded Light,"You gain shroud until end of turn. (You can't be the target of spells or abilities.)
Cycling {2} ({2}, Discard this card: Draw a card.)"
1642,Radiant's Judgment,"Destroy target creature with power 4 or greater.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1643,Stirring Address,"Target creature you control gets +2/+2 until end of turn.
Overload {5}{W} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
1644,Just the Wind,"Return target creature to its owner's hand.
Madness {U} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
1645,Phantasmal Form,"Until end of turn, up to two target creatures each have base power and toughness 3/3, gain flying, and become blue Illusions in addition to their other colors and types.
Draw a card."
1646,Recalibrate,"Return target creature to its owner's hand. If you've discarded a card this turn, draw a card."
1647,Mob,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target creature."
1648,Sudden Edict,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Target player sacrifices a creature."
1649,Faithless Salvaging,"Discard a card, then draw a card.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
1650,Unholy Heat,"Unholy Heat deals 2 damage to target creature or planeswalker.
Delirium — Unholy Heat deals 6 damage instead if there are four or more card types among cards in your graveyard."
1651,Awaken the Bear,Target creature gets +3/+3 and gains trample until end of turn.
1652,Verdant Command,"Choose two —
• Target player creates two tapped 1/1 green Squirrel creature tokens.
• Counter target loyalty ability of a planeswalker.
• Exile target card from a graveyard.
• Target player gains 3 life."
1653,Fast // Furious,"Discard a card, then draw two cards."
1654,Aegis of the Heavens,Target creature gets +1/+7 until end of turn.
1655,Essence Flux,"Exile target creature you control, then return that card to the battlefield under its owner's control. If it's a Spirit, put a +1/+1 counter on it."
1656,Sweep Away,"Return target creature to its owner's hand. If that creature is attacking, you may put it on top of its owner's library instead."
1657,Thought Collapse,Counter target spell. Its controller mills three cards.
1658,Voyage's End,Return target creature to its owner's hand. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
1659,Launch Party,"As an additional cost to cast this spell, sacrifice a creature.
Destroy target creature. Its controller loses 2 life."
1660,Blindblast,"Blindblast deals 1 damage to target creature. That creature can't block this turn.
Draw a card."
1661,Dance with Devils,"Create two 1/1 red Devil creature tokens. They have ""When this creature dies, it deals 1 damage to any target."""
1662,Flame Lash,Flame Lash deals 4 damage to any target.
1663,Flames of the Raze-Boar,Flames of the Raze-Boar deals 4 damage to target creature an opponent controls. Then Flames of the Raze-Boar deals 2 damage to each other creature that player controls if you control a creature with power 4 or greater.
1664,Heartfire,"As an additional cost to cast this spell, sacrifice a creature or planeswalker.
Heartfire deals 4 damage to any target."
1665,Elemental Uprising,Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land. It must be blocked this turn if able.
1666,Ajani's Presence,"Strive — This spell costs {2}{W} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)"
1667,Deicide,"Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles."
